,Player_ID,Year,Month,Date,Player Name,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,team_key,USG_RATIO,TS,original_player_pos,player_pos_C,player_pos_C-F,player_pos_F,player_pos_F-C,player_pos_F-G,player_pos_G,player_pos_G-F,Fantasy_Point
45,101108,2019,2,2019-02-01,Chris Paul,32.91,63,141,0.45,2.55,76,0.37,47,51,0.92,0.55,4.73,5.27,8.82,1.73,0.18,2.55,2.82,18.27,78,HOU,0.21,0.52,G,False,False,False,False,False,True,False,44.82899999999999
46,101108,2019,3,2019-03-01,Chris Paul,31.43,66,169,0.38,1.93,84,0.27,42,46,0.86,0.79,4.21,5.0,7.79,1.79,0.43,2.36,2.36,14.36,94,HOU,0.21,0.44,G,False,False,False,False,False,True,False,39.455
47,101108,2019,4,2019-04-01,Chris Paul,27.8,28,63,0.41,3.2,35,0.44,5,6,0.4,0.4,4.2,4.6,8.8,2.2,0.4,1.8,1.8,15.4,94,HOU,0.21,0.51,G,False,False,False,False,False,True,False,44.22000000000001
48,101108,2019,10,2019-10-01,Chris Paul,28.8,23,53,0.43,2.0,22,0.45,18,24,0.58,0.2,4.0,4.2,3.6,1.2,0.0,3.2,2.2,14.8,18,OKC,0.2,0.46,G,False,False,False,False,False,True,False,29.240000000000002
49,101108,2019,11,2019-11-01,Chris Paul,30.92,65,144,0.44,1.54,58,0.3,58,62,0.87,0.31,3.92,4.23,6.38,2.0,0.0,1.54,2.46,16.0,-6,OKC,0.19,0.48,G,False,False,False,False,False,True,False,37.416
50,101108,2019,12,2019-12-01,Chris Paul,33.53,97,198,0.5,1.47,59,0.33,49,52,0.76,0.4,5.27,5.67,7.6,1.33,0.33,1.93,2.33,17.67,69,OKC,0.19,0.51,G,False,False,False,False,False,True,False,41.358999999999995
51,101108,2020,1,2020-01-01,Chris Paul,31.25,108,219,0.49,1.62,80,0.26,50,57,0.68,0.38,5.06,5.44,6.75,1.69,0.06,2.38,2.19,18.25,159,OKC,0.23,0.51,G,False,False,False,False,False,True,False,40.583
52,101108,2020,2,2020-02-01,Chris Paul,32.0,72,138,0.52,1.6,44,0.33,36,41,0.91,0.3,4.4,4.7,7.1,1.1,0.2,2.0,1.9,19.6,31,OKC,0.22,0.53,G,False,False,False,False,False,True,False,40.39
53,101108,2020,3,2020-03-01,Chris Paul,33.0,29,53,0.56,1.75,16,0.38,14,14,1.0,0.25,3.5,3.75,8.0,2.0,0.25,3.5,1.75,19.75,25,OKC,0.21,0.61,G,False,False,False,False,False,True,False,43.0
54,101108,2020,8,2020-08-01,Chris Paul,29.43,40,82,0.48,1.43,25,0.47,28,29,0.98,0.71,4.86,5.57,6.57,1.86,0.29,3.43,2.71,16.86,35,OKC,0.23,0.52,G,False,False,False,False,False,True,False,39.56399999999999
